record_id,type_of_reference,title,abstract,authors,language,keywords,doi
2463,JOUR,"Epidemiology of rotavirus in Andaman and Nicobar Islands, India--Predominance of G1 and emergence of G12 strains.",,"[""{'author': 'Reesu, Rajesh', 'author_abbreviated': 'Reesu R', 'affiliations': ['Regional Medical Research Centre (Indian Council of Medical Research), Post Bag No. 13, Port Blair 744101, Andaman & Nicobar Islands, India.'], 'first_name': 'Rajesh', 'last_name': 'Reesu'}"", ""{'author': 'Muruganandam, N', 'author_abbreviated': 'Muruganandam N', 'affiliations': ['Regional Medical Research Centre (Indian Council of Medical Research), Post Bag No. 13, Port Blair 744101, Andaman & Nicobar Islands, India.'], 'first_name': 'N', 'last_name': 'Muruganandam'}"", ""{'author': 'Chaaithanya, Itta Krishna', 'author_abbreviated': 'Chaaithanya IK', 'affiliations': ['Regional Medical Research Centre (Indian Council of Medical Research), Post Bag No. 13, Port Blair 744101, Andaman & Nicobar Islands, India.'], 'first_name': 'Itta Krishna', 'last_name': 'Chaaithanya'}"", ""{'author': 'Maile, Anwesh', 'author_abbreviated': 'Maile A', 'affiliations': ['Regional Medical Research Centre (Indian Council of Medical Research), Post Bag No. 13, Port Blair 744101, Andaman & Nicobar Islands, India.'], 'first_name': 'Anwesh', 'last_name': 'Maile'}"", ""{'author': 'Sugunan, Attayur Purushottaman', 'author_abbreviated': 'Sugunan AP', 'affiliations': ['Regional Medical Research Centre (Indian Council of Medical Research), Post Bag No. 13, Port Blair 744101, Andaman & Nicobar Islands, India.'], 'first_name': 'Attayur Purushottaman', 'last_name': 'Sugunan'}"", ""{'author': 'Shriram, A N', 'author_abbreviated': 'Shriram AN', 'affiliations': ['Regional Medical Research Centre (Indian Council of Medical Research), Post Bag No. 13, Port Blair 744101, Andaman & Nicobar Islands, India.'], 'first_name': 'A N', 'last_name': 'Shriram'}"", ""{'author': 'Biswas, Ashok Kumar', 'author_abbreviated': 'Biswas AK', 'affiliations': ['Regional Medical Research Centre (Indian Council of Medical Research), Post Bag No. 13, Port Blair 744101, Andaman & Nicobar Islands, India.'], 'first_name': 'Ashok Kumar', 'last_name': 'Biswas'}"", ""{'author': 'Bharadwaj, Ageshwar Prasad', 'author_abbreviated': 'Bharadwaj AP', 'affiliations': ['Chirayu Child Care Centre, Port Blair 744101, Andaman & Nicobar Islands, India.'], 'first_name': 'Ageshwar Prasad', 'last_name': 'Bharadwaj'}"", ""{'author': 'Singhania, Munni', 'author_abbreviated': 'Singhania M', 'affiliations': ['G. B. Pant Hospital, Port Blair 744101, Andaman & Nicobar Islands, India.'], 'first_name': 'Munni', 'last_name': 'Singhania'}"", ""{'author': 'Lall, Brij Gopal', 'author_abbreviated': 'Lall BG', 'affiliations': ['B. J. R. Hospital, Car Nicobar 744301, Andaman & Nicobar Islands, India.'], 'first_name': 'Brij Gopal', 'last_name': 'Lall'}"", ""{'author': 'Vijayachari, Paluru', 'author_abbreviated': 'Vijayachari P', 'affiliations': ['Regional Medical Research Centre (Indian Council of Medical Research), Post Bag No. 13, Port Blair 744101, Andaman & Nicobar Islands, India. Electronic address: pblicmr@sancharnet.in.'], 'first_name': 'Paluru', 'last_name': 'Vijayachari'}""]",eng,"['Andaman & Nicobar Islands', 'Genotypes', 'Human-rotavirus A', 'Incidence', 'Molecular epidemiology']",10.1016/j.jinf.2016.02.006
2647,JOUR,Giardia outbreak in Bergen 2004 – what was the source of infection?,,"[""{'author': 'Landvik, Torgeir', 'author_abbreviated': 'Landvik T', 'first_name': 'Torgeir', 'last_name': 'Landvik'}""]",nor,,10.4045/tidsskr.15.0348
2653,JOUR,"[Characterization of Group A Rotavirus Genotypes Isolated from Gastroenteritis among Children during the 2008/2009 through 2013/2014 Seasons in Nara Prefecture, Japan].",,"[""{'author': 'Yoneda, Masaki', 'author_abbreviated': 'Yoneda M', 'first_name': 'Masaki', 'last_name': 'Yoneda'}"", ""{'author': 'Kitahori, Yoshiteru', 'author_abbreviated': 'Kitahori Y', 'first_name': 'Yoshiteru', 'last_name': 'Kitahori'}""]",jpn,,10.11150/kansenshogakuzasshi.89.609
2694,JOUR,Controlling Cryptosporidium.,,"[""{'author': 'Moore, Peter', 'author_abbreviated': 'Moore P', 'affiliations': ['Nimrod Veterinary Products, 25a High Street, Moreton-in-Marsh, Gloucestershire GL56 0AF.'], 'first_name': 'Peter', 'last_name': 'Moore'}""]",eng,,10.1136/vr.h3570
2726,JOUR,Controlling Cryptosporidium in the environment.,,"[""{'author': 'Wells, Beth', 'author_abbreviated': 'Wells B', 'affiliations': ['Moredun Research Institute, Pentlands Science Park, Penicuik, Midlothian EH26 0PZ, UK.'], 'first_name': 'Beth', 'last_name': 'Wells'}""]",eng,,10.1136/vr.h984
2727,JOUR,"[Epidemiological and clinical study of rotavirus acute diarrhea in infants at the hospital Jason Sendwe Lubumbashi, Democratic Republic of Congo].",,"[""{'author': 'Sangaji, Maguy Kabuya', 'author_abbreviated': 'Sangaji MK', 'affiliations': ['Département de Pédiatrie, Faculté de Médecine, Université de Lubumbashi, République Démocratique du Congo.'], 'first_name': 'Maguy Kabuya', 'last_name': 'Sangaji'}"", ""{'author': 'Mukuku, Olivier', 'author_abbreviated': 'Mukuku O', 'affiliations': ['Département de Pédiatrie, Faculté de Médecine, Université de Lubumbashi, République Démocratique du Congo.'], 'first_name': 'Olivier', 'last_name': 'Mukuku'}"", ""{'author': 'Mutombo, Augustin Mulangu', 'author_abbreviated': 'Mutombo AM', 'affiliations': ['Département de Pédiatrie, Faculté de Médecine, Université de Lubumbashi, République Démocratique du Congo.'], 'first_name': 'Augustin Mulangu', 'last_name': 'Mutombo'}"", ""{'author': 'Mawaw, Paul Makan', 'author_abbreviated': 'Mawaw PM', 'affiliations': ['Département de Santé Publique, Faculté de Médecine, Université de Lubumbashi, République Démocratique du Congo.'], 'first_name': 'Paul Makan', 'last_name': 'Mawaw'}"", ""{'author': 'Swana, Edouard Kawawa', 'author_abbreviated': 'Swana EK', 'affiliations': ['Département de Santé Publique, Faculté de Médecine, Université de Lubumbashi, République Démocratique du Congo.'], 'first_name': 'Edouard Kawawa', 'last_name': 'Swana'}"", ""{'author': 'Kabulo, Benjamin Kasongo', 'author_abbreviated': 'Kabulo BK', 'affiliations': ['Département de Pédiatrie, Faculté de Médecine, Université de Lubumbashi, République Démocratique du Congo.'], 'first_name': 'Benjamin Kasongo', 'last_name': 'Kabulo'}"", ""{'author': 'Mutombo, André Kabamba', 'author_abbreviated': 'Mutombo AK', 'affiliations': ['Département de Pédiatrie, Faculté de Médecine, Université de Lubumbashi, République Démocratique du Congo.'], 'first_name': 'André Kabamba', 'last_name': 'Mutombo'}"", ""{'author': 'Wembonyama, Stanis Okitotsho', 'author_abbreviated': 'Wembonyama SO', 'affiliations': ['Département de Pédiatrie, Faculté de Médecine, Université de Lubumbashi, République Démocratique du Congo.'], 'first_name': 'Stanis Okitotsho', 'last_name': 'Wembonyama'}"", ""{'author': 'Luboya, Oscar Numbi', 'author_abbreviated': 'Luboya ON', 'affiliations': ['Département de Pédiatrie, Faculté de Médecine, Université de Lubumbashi, République Démocratique du Congo ; Département de Santé Publique, Faculté de Médecine, Université de Lubumbashi, République Démocratique du Congo.'], 'first_name': 'Oscar Numbi', 'last_name': 'Luboya'}""]",fre,"['DRC', 'Lubumbashi', 'Rotavirus', 'acute diarrhea', 'dehydration', 'infant']",10.11604/pamj.2015.21.113.5737
2804,JOUR,"Norovirus and Rotavirus infection in children aged less than five years in a paediatric hospital, Havana, Cuba.",,"[""{'author': 'Ribas, María de los Angeles', 'author_abbreviated': 'Ribas Mde L', 'affiliations': ['National Reference Laboratory of Viral Diarrhea, Virology Department, Pedro Kourí Institute of Tropical Medicine, Havana, Cuba. Electronic address: maribas@ipk.sld.cu.'], 'first_name': 'María de los Angeles', 'last_name': 'Ribas'}"", ""{'author': 'Castaño, Yuselis', 'author_abbreviated': 'Castaño Y', 'affiliations': ['Havana Centre Pediatric Hospital, Havana, Cuba.'], 'first_name': 'Yuselis', 'last_name': 'Castaño'}"", ""{'author': 'Martínez, Marlon Daniel', 'author_abbreviated': 'Martínez MD', 'affiliations': ['National Reference Laboratory of Viral Diarrhea, Virology Department, Pedro Kourí Institute of Tropical Medicine, Havana, Cuba.'], 'first_name': 'Marlon Daniel', 'last_name': 'Martínez'}"", ""{'author': 'Tejero, Yahisel', 'author_abbreviated': 'Tejero Y', 'affiliations': ['National Reference Laboratory of Viral Diarrhea, Virology Department, Pedro Kourí Institute of Tropical Medicine, Havana, Cuba.'], 'first_name': 'Yahisel', 'last_name': 'Tejero'}"", ""{'author': 'Cordero, Yanislet', 'author_abbreviated': 'Cordero Y', 'affiliations': ['National Reference Laboratory of Viral Diarrhea, Virology Department, Pedro Kourí Institute of Tropical Medicine, Havana, Cuba.'], 'first_name': 'Yanislet', 'last_name': 'Cordero'}""]",eng,,10.1016/j.bjid.2014.10.002
2812,JOUR,[Bioaccumulation of Giardia and Cryptosporidium coproantigen in a child's human environment].,,"[""{'author': 'Gutiérrez-Fernández, J', 'author_abbreviated': 'Gutiérrez-Fernández J', 'affiliations': ['Servicio de Microbiología, Hospital Universitario Virgen de las Nieves, Granada, España; Departamento de Microbiología, Facultad de Medicina de Granada, Granada, España. Electronic address: josegf@ugr.es.'], 'first_name': 'J', 'last_name': 'Gutiérrez-Fernández'}"", ""{'author': 'Almagro-Nievas, D', 'author_abbreviated': 'Almagro-Nievas D', 'affiliations': ['Unidad de Epidemiología y Programas del Distrito Metropolitano de Granada, Granada, España.'], 'first_name': 'D', 'last_name': 'Almagro-Nievas'}"", ""{'author': 'Heras-Caña, V', 'author_abbreviated': 'Heras-Caña V', 'affiliations': ['Servicio de Microbiología, Hospital Universitario Virgen de las Nieves, Granada, España.'], 'first_name': 'V', 'last_name': 'Heras-Caña'}"", ""{'author': 'Navarro-Marí, J M', 'author_abbreviated': 'Navarro-Marí JM', 'affiliations': ['Servicio de Microbiología, Hospital Universitario Virgen de las Nieves, Granada, España.'], 'first_name': 'J M', 'last_name': 'Navarro-Marí'}""]",spa,,10.1016/j.anpedi.2014.03.007
2828,JOUR,Characterization of the genetic environment of the ribosomal RNA methylase gene erm(B) in Campylobacter jejuni.,,"[""{'author': 'Deng, Fengru', 'author_abbreviated': 'Deng F', 'affiliations': ['National Centre for Veterinary Drug Safety Evaluation, College of Veterinary Medicine, China Agricultural University, Beijing 100193, China.'], 'first_name': 'Fengru', 'last_name': 'Deng'}"", ""{'author': 'Wang, Yang', 'author_abbreviated': 'Wang Y', 'affiliations': ['National Centre for Veterinary Drug Safety Evaluation, College of Veterinary Medicine, China Agricultural University, Beijing 100193, China.'], 'first_name': 'Yang', 'last_name': 'Wang'}"", ""{'author': 'Zhang, Yi', 'author_abbreviated': 'Zhang Y', 'affiliations': ['The First School of Clinical Chinese Medicine, Beijing University of Chinese Medicine, Beijing 100700, China.'], 'first_name': 'Yi', 'last_name': 'Zhang'}"", ""{'author': 'Shen, Zhangqi', 'author_abbreviated': 'Shen Z', 'affiliations': ['Department of Veterinary Microbiology and Preventive Medicine, Iowa State University, Ames, IA 50011, USA szq@iastate.edu.'], 'first_name': 'Zhangqi', 'last_name': 'Shen'}""]",eng,"['campylobacteriosis', 'food safety', 'foodborne pathogens', 'multidrug resistance']",10.1093/jac/dku418
2960,JOUR,WHO Global rotavirus surveillance network – a strategic review of the first 5 years (2008–2012).,,,fre,,
2985,JOUR,[Endovascular Campylobacter infections: report of two cases].,,"[""{'author': 'Rodríguez-Alvarez, Regino', 'author_abbreviated': 'Rodríguez-Alvarez R', 'affiliations': ['Miguel Montejo, Unidad de Enfermedades Infecciosas. Hospital Universitario Cruces. Plaza Cruces S/N, 48903 Barakaldo. Bizkaia. Spain. josemiguel.montejobaranda@osakidetza.net.'], 'first_name': 'Regino', 'last_name': 'Rodríguez-Alvarez'}"", ""{'author': 'Goikoetxea, Josune', 'author_abbreviated': 'Goikoetxea J', 'first_name': 'Josune', 'last_name': 'Goikoetxea'}"", ""{'author': 'García, Mirian', 'author_abbreviated': 'García M', 'first_name': 'Mirian', 'last_name': 'García'}"", ""{'author': 'Figueras, Ysa', 'author_abbreviated': 'Figueras Y', 'first_name': 'Ysa', 'last_name': 'Figueras'}"", ""{'author': 'Hernández, Luis', 'author_abbreviated': 'Hernández L', 'first_name': 'Luis', 'last_name': 'Hernández'}"", ""{'author': 'Montejo, Miguel', 'author_abbreviated': 'Montejo M', 'first_name': 'Miguel', 'last_name': 'Montejo'}""]",spa,,
